"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"wBMI4","~~","wPA4",1,1,-0.0117075302805687,0.0850036547960443,-0.137729728311794,0.89045402350326,-0.178311632235091,0.154896571673954,-0.00520087198264758,-0.00520087198264758,-0.00520087198264758
"wBMI4","~~","wFV4",1,1,0.00827817374895129,0.0173016405699982,0.478461780283773,0.632321570782129,-0.0256324186417022,0.0421887661396048,0.0187082471344771,0.0187082471344771,0.0187082471344771
"wPA4","~~","wFV4",1,1,0.0482962100880321,0.035546297926662,1.35868467055769,0.174246531737619,-0.0213732536319561,0.11796567380802,0.0436684110037583,0.0436684110037583,0.0436684110037583
"wBMI5","~~","wPA5",1,1,0.000282490934529988,0.106889417292265,0.00264283351604005,0.997891326395476,-0.209216917286782,0.209781899155842,0.000124068527849731,0.000124068527849731,0.000124068527849731
"wBMI5","~~","wFV5",1,1,-0.0370366457168195,0.0213448296218788,-1.73515771139519,0.0827128745203642,-0.0788717430318457,0.00479845159820673,-0.0748426156044793,-0.0748426156044793,-0.0748426156044793
"wPA5","~~","wFV5",1,1,-0.0326546329075723,0.0359101154620636,-0.909343578749268,0.363168794042546,-0.103037165893892,0.0377279000787472,-0.0333417710466597,-0.0333417710466597,-0.0333417710466597
"wBMI6","~~","wPA6",1,1,-0.0586482391251108,0.0779102644854283,-0.752766525854624,0.451590225301061,-0.21134955154254,0.0940530732923187,-0.0247078847023905,-0.0247078847023905,-0.0247078847023905
"wBMI6","~~","wFV6",1,1,-0.0279613892705414,0.0207343793583485,-1.34855202498661,0.177480899066738,-0.0686000260546951,0.0126772475136123,-0.0535991648699196,-0.0535991648699196,-0.0535991648699196
"wPA6","~~","wFV6",1,1,-0.0424178730903578,0.0331891017833451,-1.27806631728864,0.201226044071424,-0.107467317264948,0.0226315710842327,-0.0403126523393155,-0.0403126523393155,-0.0403126523393155
"wBMI7","~~","wPA7",1,1,-0.215991184639458,0.0920011460383082,-2.3477010226538,0.018889676986126,-0.396310117410952,-0.0356722518679641,-0.0784285704192957,-0.0784285704192957,-0.0784285704192957
"wBMI7","~~","wFV7",1,1,-0.0277544749435322,0.0174646641777213,-1.58917885056943,0.112020019892737,-0.0619845877339528,0.0064756378468883,-0.0504753366786333,-0.0504753366786333,-0.0504753366786333
"wPA7","~~","wFV7",1,1,0.00133256414186406,0.0373045598045819,0.0357212134078148,0.971504655491687,-0.0717830295342369,0.074448157817965,0.00115121150910366,0.00115121150910366,0.00115121150910366
