"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wFV3","~","wFV2",2,2,0.142284928867845,0.0485936277250179,2.92805735091457,0.00341087123457018,0.0470431686486625,0.237526689087027,0.149976476527039,0.149976476527039
"wBMI4","~","wBMI3",2,2,0.474217561040112,0.120493906566364,3.9356144601298,8.2984101618111e-05,0.238053843813504,0.71038127826672,0.496899149690339,0.496899149690339
"wBMI4","~","wPA3",2,2,0.00759216802624657,0.0291849391903648,0.260139929596052,0.794755838524163,-0.04960926167786,0.0647935977303531,0.0120373556318212,0.0120373556318212
"wBMI4","~","wFV3",2,2,-0.0522623487723237,0.116620175883741,-0.448141570498268,0.654051028174806,-0.280833693375182,0.176308995830534,-0.0179819592652204,-0.0179819592652204
"wPA4","~","wBMI3",2,2,-0.06232565254625,0.089877881974443,-0.69344816741423,0.488028343203921,-0.2384830642229,0.1138317591304,-0.037106753962557,-0.037106753962557
"wPA4","~","wPA3",2,2,0.47916882434409,0.157650521693346,3.03943697234409,0.002370207915668,0.170179479681181,0.788158169006998,0.431667492001985,0.431667492001985
"wPA4","~","wFV3",2,2,-0.115872311732191,0.214973643753639,-0.539007060163065,0.589881982993661,-0.537212911114666,0.305468287650285,-0.0226528717682414,-0.0226528717682414
"wFV4","~","wBMI3",2,2,0.00802167754385839,0.0230666599149498,0.347760688952606,0.728019914700839,-0.0371881451330769,0.0532315002207937,0.0253477769320748,0.0253477769320748
"wFV4","~","wPA3",2,2,0.0118049901900857,0.00856105718591835,1.37891733856224,0.167920241658771,-0.00497437356390212,0.0285843539440734,0.0564436338946896,0.0564436338946896
"wFV4","~","wFV3",2,2,0.0971571353646846,0.0469052127717658,2.07135048800307,0.0383260542839947,0.00522460764483559,0.189089663084534,0.100810749205122,0.100810749205122
"wBMI5","~","wBMI4",2,2,0.315507183525599,0.142006037630044,2.2217871070212,0.0262976964529575,0.0371804641834729,0.593833902867724,0.363082347609928,0.363082347609928
"wBMI5","~","wPA4",2,2,-0.0103725042575713,0.0275165038448502,-0.376955746851268,0.706206491965067,-0.0643038607739356,0.043558852258793,-0.0210079654938167,-0.0210079654938167
"wBMI5","~","wFV4",2,2,-0.154585103577045,0.160678195004299,-0.962078915393023,0.336009964479234,-0.469508578886374,0.160338371732285,-0.0589901457187867,-0.0589901457187867
"wPA5","~","wBMI4",2,2,0.0773809935332677,0.119300106507256,0.648624681056434,0.516580998545734,-0.156442918572747,0.311204905639282,0.0392676411371549,0.0392676411371549
"wPA5","~","wPA4",2,2,0.325690106341579,0.110709035519997,2.94185659564121,0.00326250971745567,0.10870438395922,0.542675828723937,0.290877124567311,0.290877124567311
"wPA5","~","wFV4",2,2,0.0993480527943813,0.203482246066882,0.488239415057995,0.625380269190837,-0.299469820990024,0.498165926578786,0.016717672606364,0.016717672606364
"wFV5","~","wBMI4",2,2,-0.0186582263371307,0.0230380542437864,-0.809887247407754,0.418004981878514,-0.0638119829288321,0.0264955302545708,-0.0533821988568611,-0.0533821988568611
"wFV5","~","wPA4",2,2,0.00699655716571035,0.0077902909370055,0.898112435374557,0.369125610021427,-0.00827213249990922,0.0222652468313299,0.0352301894991727,0.0352301894991727
"wFV5","~","wFV4",2,2,0.0706700837824853,0.0497844507971126,1.41952120895113,0.155747118047833,-0.0269056467699617,0.168245814334932,0.0670467379076209,0.0670467379076209
"wBMI6","~","wBMI5",2,2,0.619525614384775,0.161361995339089,3.83935271178874,0.000123359106778187,0.30326191504664,0.93578931372291,0.465517590999321,0.465517590999321
"wBMI6","~","wPA5",2,2,0.0189140981938379,0.0219661489414492,0.86105663055702,0.389206853846086,-0.0241387626104452,0.061966958998121,0.0322298170518109,0.0322298170518109
"wBMI6","~","wFV5",2,2,-0.0805487387538304,0.125835332123652,-0.640112259366703,0.522099619439756,-0.327181457698825,0.166083980191164,-0.0243447520477519,-0.0243447520477519
"wPA6","~","wBMI5",2,2,0.0784464329784511,0.104807557322636,0.748480691492165,0.454170267261156,-0.126972604681532,0.283865470638434,0.0443497967360875,0.0443497967360875
"wPA6","~","wPA5",2,2,0.254277396510187,0.0655523538942836,3.87899718933451,0.000104887966673628,0.125797143775567,0.382757649244806,0.326002972818997,0.326002972818997
"wPA6","~","wFV5",2,2,-0.0312416515920823,0.167269117884047,-0.186774773414776,0.851837226737962,-0.359083098370598,0.296599795186434,-0.00710431483196138,-0.00710431483196138
"wFV6","~","wBMI5",2,2,-0.00684200620222401,0.0278563909884636,-0.245617108298686,0.805978644361004,-0.0614395292788788,0.0477555168744308,-0.0167992859441976,-0.0167992859441976
"wFV6","~","wPA5",2,2,-0.0129730893869015,0.00944748197285956,-1.37317958628238,0.169696524221081,-0.0314898137982977,0.0055436350244946,-0.0722347444226952,-0.0722347444226952
"wFV6","~","wFV5",2,2,0.12052104694964,0.0506089428747933,2.38141798867069,0.0172461304596037,0.0213293416194002,0.21971275227988,0.119025505845475,0.119025505845475
"wBMI7","~","wBMI6",2,2,0.632273310507246,0.0882184607299439,7.16713151958946,7.65831842386433e-13,0.459368304704995,0.805178316309497,0.596513218004555,0.596513218004555
"wBMI7","~","wPA6",2,2,0.0222063041253845,0.0280022961380731,0.793017258866565,0.427767767446352,-0.0326771877896638,0.0770897960404328,0.0278451718026075,0.0278451718026075
"wBMI7","~","wFV6",2,2,-0.020865134531765,0.114624536055125,-0.182030263762468,0.855558975606406,-0.245525096944423,0.203794827880893,-0.00602429016540563,-0.00602429016540563
"wPA7","~","wBMI6",2,2,-0.0540761767763001,0.0638135644844368,-0.84740881054354,0.396767295302038,-0.17914846489092,0.0709961113383203,-0.0409239997104782,-0.0409239997104782
"wPA7","~","wPA6",2,2,0.330188251713058,0.084578870140311,3.90390946539361,9.46511999266875e-05,0.164416712384958,0.495959791041157,0.33211776544048,0.33211776544048
