"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wPA4","~~","wFV4",0.0232367320389946,0.0177257946060443,1.31089931681094,0.189891781719148,-0.0115051869862067,0.0579786510641958,0.023529582516079,0.023529582516079
"wBMI5","~~","wPA5",-0.0152626787708343,0.0566824485881627,-0.269266398170767,0.787724687914839,-0.126358236559176,0.0958328790175079,-0.00640863690212384,-0.00640863690212384
"wBMI5","~~","wFV5",-0.0347821201059617,0.0124963812784185,-2.78337538932421,0.00537965230106519,-0.0592745773487425,-0.0102896628631809,-0.0714998746833695,-0.0714998746833695
"wPA5","~~","wFV5",-0.00495429734498304,0.0200913926054394,-0.246588051026475,0.805227052939042,-0.0443327032508986,0.0344241085609325,-0.00480509126135436,-0.00480509126135436
"wBMI6","~~","wPA6",-0.00867817018158224,0.0437440931170915,-0.198384960418611,0.842743883447557,-0.094415017227448,0.0770586768642835,-0.00377810553313038,-0.00377810553313038
"wBMI6","~~","wFV6",-0.041432180984827,0.011229993105276,-3.68942176512659,0.000224764332704686,-0.0634425630178012,-0.0194217989518529,-0.0776546686985889,-0.0776546686985889
"wPA6","~~","wFV6",-0.0105086055145711,0.0189650806228468,-0.554102865342506,0.579508449277927,-0.0476794804992492,0.0266622694701071,-0.0111112027902194,-0.0111112027902194
"wBMI7","~~","wPA7",-0.0456597926812305,0.0483327187081829,-0.944697378951707,0.344813395553411,-0.140390180624174,0.0490705952617132,-0.0180742424010589,-0.0180742424010589
"wBMI7","~~","wFV7",-0.032663610660685,0.0103585409361246,-3.15330227124684,0.00161434551337769,-0.0529659778278729,-0.012361243493497,-0.0591227407248352,-0.0591227407248352
"wPA7","~~","wFV7",0.0174783286363064,0.0193626452458739,0.902682893497255,0.366694217977066,-0.0204717586910323,0.055428415963645,0.0170899763899237,0.0170899763899237
"riBMI","~~","riBMI",17.3421322441027,0.494563274907371,35.065547977356,0,16.3728060372081,18.3114584509973,1,1
"riPA","~~","riPA",4.16777017326569,0.259068913484643,16.0874962464871,0,3.66000443332187,4.67553591320952,1,1
"riFV","~~","riFV",0.268553182110741,0.00509959496850378,52.66166896967,0,0.258558159636732,0.27854820458475,1,1
"riBMI","~~","riPA",-1.12319042362126,0.125332088076539,-8.96171476003292,0,-1.36883680235848,-0.877544044884045,-0.132114432628641,-0.132114432628641
"riBMI","~~","riFV",-0.0216660096697508,0.0321228728567345,-0.674472976510523,0.500010660628921,-0.0846256835489096,0.0412936642094081,-0.0100395104114855,-0.0100395104114855
"riPA","~~","riFV",0.108990954794895,0.018691312203351,5.83110236505254,5.50623902029201e-09,0.0723566560525333,0.145625253537257,0.103020445744904,0.103020445744904
"wBMI1","~~","wBMI1",2.29304358906764,0.219152366015115,10.4632390275426,0,1.86351284455128,2.72257433358401,1,1
"wPA1","~~","wPA1",4.84557225854232,0.38833996300095,12.4776554570833,0,4.08443991730284,5.6067045997818,1,1
"wFV1","~~","wFV1",0.237619228035234,0.00703836898870368,33.7605528236163,0,0.223824278307471,0.251414177762996,1,1
"wBMI2","~~","wBMI2",1.17982542537759,0.0672280479992678,17.5496011038493,0,1.04806087254809,1.31158997820708,0.642640696134636,0.642640696134636
"wPA2","~~","wPA2",4.36073861076494,0.435141241840031,10.0214325636549,0,3.50787744857044,5.21359977295943,0.810644016690878,0.810644016690878
"wFV2","~~","wFV2",0.228684349313566,0.00614499444806067,37.2147365219732,0,0.216640381510168,0.240728317116963,0.969553622477011,0.969553622477011
"wBMI3","~~","wBMI3",1.10478114276234,0.0755861847103284,14.6161781679579,0,0.9566349430013,1.25292734252337,0.785405917254429,0.785405917254429
"wPA3","~~","wPA3",3.86358250058044,0.249786976186328,15.4675097940191,0,3.37400902344808,4.35315597771281,0.829545426903283,0.829545426903283
"wFV3","~~","wFV3",0.216380613361449,0.00569995015578313,37.9618430771559,0,0.205208916342441,0.227552310380458,0.985559919297335,0.985559919297335
"wBMI4","~~","wBMI4",1.02761887534356,0.0755092794719085,13.6091733695573,0,0.879623407080048,1.17561434360707,0.830405797629616,0.830405797629616
"wPA4","~~","wPA4",4.73003869534978,0.453456282503308,10.4310798589835,0,3.84128071307987,5.61879667761968,0.895598496136297,0.895598496136297
"wFV4","~~","wFV4",0.206184950522917,0.00560851922429146,36.7628142611859,0,0.195192454836705,0.217177446209129,0.988200468352164,0.988200468352164
"wBMI5","~~","wBMI5",1.12366134136151,0.106382189766625,10.5624949423069,0,0.915156080822421,1.3321666019006,0.892365010693479,0.892365010693479
